Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      9.34     0.00   338900     0.00     0.00  std::__detail::_Hashtable_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(unsigned long long const&, unsigned long, std::__detail::_Hash_node<unsigned long long, false>*) const
  0.00      9.34     0.00   338900     0.00     0.00  std::equal_to<unsigned long long>::operator()(unsigned long long const&, unsigned long long const&) const
  0.00      9.34     0.00   338900     0.00     0.00  std::__detail::_Equal_helper<unsigned long long, unsigned long long, std::__detail::_Identity, std::equal_to<unsigned long long>, unsigned long, false>::_S_equals(std::equal_to<unsigned long long> const&, std::__detail::_Identity const&, unsigned long long const&, unsigned long, std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   338900     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long long>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long long>, true> const&)
  0.00      9.34     0.00   245100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::count(unsigned long long const&) const
  0.00      9.34     0.00   241200     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract()
  0.00      9.34     0.00   241200     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>&)
  0.00      9.34     0.00   240300     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      9.34     0.00   240200     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::deallocate(std::__detail::_Hash_node<unsigned long long, false>*, unsigned long)
  0.00      9.34     0.00   240200     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::allocate(unsigned long, void const*)
  0.00      9.34     0.00   240200     0.00     0.00  void __gnu_cxx::new_allocator<unsigned long long>::destroy<unsigned long long>(unsigned long long*)
  0.00      9.34     0.00   240200     0.00     0.00  void __gnu_cxx::new_allocator<unsigned long long>::construct<unsigned long long, unsigned long long const&>(unsigned long long*, unsigned long long const&)
  0.00      9.34     0.00   240200     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::max_size() const
  0.00      9.34     0.00   240200     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, unsigned long long const&, unsigned long) const
  0.00      9.34     0.00   240200     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, unsigned long long const&, unsigned long) const
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::operator()<unsigned long long const&>(unsigned long long const&) const
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<unsigned long long, false>*, unsigned long) const
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      9.34     0.00   240200     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   240200     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   240200     0.00     0.00  std::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool> std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > >(unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > const&, std::integral_constant<bool, true>)
  0.00      9.34     0.00   240200     0.00     0.00  std::unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long> >::insert(unsigned long long const&)
  0.00      9.34     0.00   240200     0.00     0.00  std::pointer_traits<std::__detail::_Hash_node<unsigned long long, false>*>::pointer_to(std::__detail::_Hash_node<unsigned long long, false>&)
  0.00      9.34     0.00   240200     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::deallocate(std::allocator<std::__detail::_Hash_node<unsigned long long, false> >&, std::__detail::_Hash_node<unsigned long long, false>*, unsigned long)
  0.00      9.34     0.00   240200     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::allocate(std::allocator<std::__detail::_Hash_node<unsigned long long, false> >&, unsigned long)
  0.00      9.34     0.00   240200     0.00     0.00  void std::allocator_traits<std::allocator<unsigned long long> >::destroy<unsigned long long>(std::allocator<unsigned long long>&, unsigned long long*)
  0.00      9.34     0.00   240200     0.00     0.00  void std::allocator_traits<std::allocator<unsigned long long> >::construct<unsigned long long, unsigned long long const&>(std::allocator<unsigned long long>&, unsigned long long*, unsigned long long const&)
  0.00      9.34     0.00   240200     0.00     0.00  std::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool>::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool, true>(std::__detail::_Node_iterator<unsigned long long, true, false>&&, bool&&)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>::_Hash_node()
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Insert_base<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Insert_base<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(unsigned long long const&)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Node_iterator<unsigned long long, true, false>::_Node_iterator(std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_allocate_node<unsigned long long const&>(unsigned long long const&)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_deallocate_node(std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Node_iterator_base<unsigned long long, false>::_Node_iterator_base(std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_node_value_base<unsigned long long>::_Hash_node_value_base()
  0.00      9.34     0.00   240200     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::addressof<std::__detail::_Hash_node<unsigned long long, false> >(std::__detail::_Hash_node<unsigned long long, false>&)
  0.00      9.34     0.00   240200     0.00     0.00  std::pair<std::__decay_and_strip<std::__detail::_Node_iterator<unsigned long long, true, false> >::__type, std::__decay_and_strip<bool>::__type> std::make_pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool>(std::__detail::_Node_iterator<unsigned long long, true, false>&&, bool&&)
  0.00      9.34     0.00    10100     0.00     0.00  reset(int)
  0.00      9.34     0.00     3000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      9.34     0.00     2000     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::new_allocator()
  0.00      9.34     0.00     2000     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::~new_allocator()
  0.00      9.34     0.00     2000     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::allocator<std::__detail::_Hash_node<unsigned long long, false> >(std::allocator<std::__detail::_Hash_node<unsigned long long, false> > const&)
  0.00      9.34     0.00     2000     0.00     0.00  std::__detail::_Hash_node_base** std::__addressof<std::__detail::_Hash_node_base*>(std::__detail::_Hash_node_base*&)
  0.00      9.34     0.00     1100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      9.34     0.00     1100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_begin() const
  0.00      9.34     0.00     1100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long)
  0.00      9.34     0.00     1100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_deallocate_buckets()
  0.00      9.34     0.00     1000     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::deallocate(std::__detail::_Hash_node_base**, unsigned long)
  0.00      9.34     0.00     1000     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::allocate(unsigned long, void const*)
  0.00      9.34     0.00     1000     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::max_size() const
  0.00      9.34     0.00     1000     0.00     0.01  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
  0.00      9.34     0.00     1000     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_allocate_buckets(unsigned long)
  0.00      9.34     0.00     1000     0.00     0.01  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00      9.34     0.00     1000     0.00     0.00  std::pointer_traits<std::__detail::_Hash_node_base**>::pointer_to(std::__detail::_Hash_node_base*&)
  0.00      9.34     0.00     1000     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::deallocate(std::allocator<std::__detail::_Hash_node_base*>&, std::__detail::_Hash_node_base**, unsigned long)
  0.00      9.34     0.00     1000     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::allocate(std::allocator<std::__detail::_Hash_node_base*>&, unsigned long)
  0.00      9.34     0.00     1000     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_allocate_buckets(unsigned long)
  0.00      9.34     0.00     1000     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long)
  0.00      9.34     0.00     1000     0.00     0.00  _ZSt4swapIiENSt9enable_ifIXsr6__and_ISt6__not_ISt15__is_tuple_likeIT_EESt21is_move_constructibleIS3_ESt18is_move_assignableIS3_EEE5valueEvE4typeERS3_SC_
  0.00      9.34     0.00     1000     0.00     0.00  std::__detail::_Hash_node_base** std::addressof<std::__detail::_Hash_node_base*>(std::__detail::_Hash_node_base*&)
  0.00      9.34     0.00     1000     0.00     0.00  void std::iter_swap<int*, int*>(int*, int*)
  0.00      9.34     0.00      312     0.00     0.00  std::__detail::_Mod<unsigned long, 0ul, 1ul, 0ul, true, false>::__calc(unsigned long)
  0.00      9.34     0.00      312     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 0ul, 1ul, 0ul>(unsigned long)
  0.00      9.34     0.00      311     0.00     0.00  std::__detail::_Mod<unsigned long, 312ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      9.34     0.00      311     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 312ul, 1ul, 0ul>(unsigned long)
  0.00      9.34     0.00      200     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      9.34     0.00      200     0.00     0.00  void std::reverse<int*>(int*, int*)
  0.00      9.34     0.00      200     0.00     0.00  void std::__reverse<int*>(int*, int*, std::random_access_iterator_tag)
  0.00      9.34     0.00      100     0.00    93.03  solve()
  0.00      9.34     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::new_allocator()
  0.00      9.34     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::~new_allocator()
  0.00      9.34     0.00      100     0.00     0.00  HashSet::size() const
  0.00      9.34     0.00      100     0.00     0.00  std::allocator<std::__detail::_Hash_node<unsigned long long, false> >::allocator()
  0.00      9.34     0.00      100     0.00     1.48  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::clear()
  0.00      9.34     0.00      100     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Hashtable()
  0.00      9.34     0.00      100     0.00     1.48  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::~_Hashtable()
  0.00      9.34     0.00      100     0.00     0.00  std::unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long> >::unordered_set()
  0.00      9.34     0.00      100     0.00     0.00  std::unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long> >::~unordered_set()
  0.00      9.34     0.00      100     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_Hashtable_alloc()
  0.00      9.34     0.00      100     0.00     0.00  std::__detail::_Prime_rehash_policy::_Prime_rehash_policy(float)
  0.00      9.34     0.00      100     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<unsigned long long, false> >, true>::_Hashtable_ebo_helper()
  0.00      9.34     0.00       50     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()()
  0.00      9.34     0.00        1     0.00     0.00  std::random_device::random_device(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      9.34     0.00        1     0.00     0.00  std::random_device::~random_device()
  0.00      9.34     0.00        1     0.00     0.00  std::random_device::operator()()
  0.00      9.34     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
